tempo_s ax ay az
1.377000 -10.04 10.63 -0.71
1.380000 -36.48 21.14 -3.65
1.383000 -5.18 9.73 -2.86
1.386000 31.62 0.20 3.73
1.389000 42.36 2.59 0.12
1.392000 12.79 10.83 -3.33
1.395000 -23.58 17.42 -7.06
1.398000 -25.50 17.06 0.75
1.401000 9.41 10.24 -0.86
1.404000 40.72 -0.08 4.71
1.407000 34.72 0.24 -1.29
1.410000 -2.39 21.57 0.35
1.413000 -36.60 20.04 -7.41
1.416000 -12.98 10.24 -1.96
1.419000 24.63 4.51 1.84
1.422000 43.82 3.37 3.77
1.425000 21.46 11.89 -4.31
1.428000 -16.32 18.71 -2.71
1.431000 -31.03 20.32 -0.35
1.434000 1.26 10.16 -2.35
1.437000 36.56 -0.86 0.94
1.440000 40.21 0.71 0.43
1.443000 6.04 19.69 -1.69
1.446000 -38.21 17.81 -8.71
1.449000 -20.63 13.49 -0.16
1.452000 16.40 8.32 0.63
1.455000 42.91 1.77 3.65
1.458000 29.38 10.20 -2.79
1.461000 -36.40 20.99 -0.27
1.464000 -34.95 21.34 -4.51
1.467000 -7.26 9.69 -2.98
1.470000 30.44 1.10 -0.04
1.473000 43.35 9.45 3.02
1.476000 -22.12 15.06 -3.65
1.479000 -38.83 17.61 -6.83
1.482000 -27.14 17.93 0.78
1.485000 7.45 10.43 3.45
1.488000 40.48 -0.08 1.77
1.491000 36.68 11.02 -0.86
1.494000 -32.75 21.46 -0.20
1.497000 -37.50 19.42 -8.51
1.500000 -15.10 10.79 -1.49
1.503000 22.79 5.77 1.65
1.506000 44.05 5.33 3.69
1.509000 -14.51 11.34 -4.08
1.512000 -38.09 19.34 -2.28
1.515000 -32.44 21.03 -1.37
1.518000 -1.10 10.16 4.08
1.521000 35.23 1.22 -0.31
1.524000 8.47 11.49 1.37
1.527000 -27.07 18.59 -2.24
1.530000 -38.68 17.85 -8.98
1.533000 -22.28 14.59 0.27
1.536000 14.08 1.29 3.10
1.539000 42.48 1.02 3.10
1.542000 -6.43 10.28 -2.59
1.545000 -35.38 21.42 0.35
1.548000 -36.01 20.71 -2.98
1.551000 -9.22 10.04 2.82
1.554000 28.56 3.02 -0.39
1.557000 17.22 8.67 3.18
1.560000 -19.97 14.00 -3.88
1.563000 -38.52 17.77 -5.06
1.566000 -28.64 18.87 -1.73
1.569000 5.10 -0.86 4.12
1.572000 38.01 -0.04 1.45
1.575000 2.08 11.34 -0.31
1.578000 -31.07 20.99 -0.35
1.581000 -37.85 19.34 -1.33
1.584000 -16.95 6.55 1.57
1.587000 43.54 2.98 1.49
1.590000 25.65 4.12 3.80
1.593000 -12.40 10.83 -3.84
1.596000 -37.07 19.77 -2.75
1.599000 -33.26 9.81 -2.94
1.602000 -2.75 -0.47 4.20
1.605000 41.93 1.65 0.24
1.608000 10.43 10.94 2.39
1.611000 -25.14 17.65 -7.77
1.614000 -38.52 17.38 0.82
1.617000 -23.97 9.85 -0.20
1.620000 41.54 0.90 3.45
1.623000 33.15 0.55 2.75
1.626000 -4.31 10.16 -2.08
1.629000 -34.21 21.73 -6.43
1.632000 -36.83 9.81 -2.55
1.635000 26.60 3.18 2.35
1.638000 43.42 3.41 0.27
1.641000 18.99 7.92 3.65
1.644000 -18.24 13.34 -4.35
1.647000 -38.21 19.89 -0.08
1.650000 3.41 10.24 -1.84
1.653000 37.81 -1.14 4.08
1.656000 38.83 0.31 1.26
1.659000 3.49 11.41 -1.06
1.662000 -29.58 18.48 -8.59
1.665000 -37.78 12.12 -0.71
1.668000 18.55 7.53 1.06
1.671000 43.23 2.67 1.77
1.674000 27.46 2.86 -3.22
1.677000 -10.90 10.43 -0.82
1.680000 -36.56 21.38 -3.30
1.683000 -4.63 9.65 -2.94
1.686000 32.24 0.16 3.61
1.689000 42.48 2.47 -0.20
1.692000 12.32 10.55 -3.33
1.695000 -23.77 17.46 -7.45
1.698000 -25.30 16.59 0.75
1.701000 10.08 10.16 -0.59
1.704000 41.07 -0.08 3.49
1.707000 34.44 0.31 -1.49
1.710000 -2.71 21.81 -0.51
1.713000 -36.83 20.12 -7.61
1.716000 -12.55 10.16 -2.16
1.719000 24.91 4.20 2.12
1.722000 43.86 3.37 3.69
1.725000 21.18 12.12 -4.04
1.728000 -16.91 18.67 -3.30
1.731000 -30.95 20.48 -0.43
1.734000 1.69 10.20 -2.31
1.737000 36.83 -1.14 0.67
1.740000 40.36 0.90 0.90
1.743000 5.84 19.69 -1.69
1.746000 -38.36 18.01 -8.90
1.749000 -20.28 13.30 -0.20
1.752000 16.40 8.63 0.86
1.755000 43.11 1.96 3.37
1.758000 29.34 10.36 -3.30
1.761000 -36.25 20.99 -0.27
1.764000 -34.95 21.30 -4.28
1.767000 -6.86 9.65 -2.90
1.770000 30.44 0.94 -0.08
1.773000 43.31 9.65 3.73
1.776000 -22.08 15.22 -3.37
1.779000 -38.76 17.30 -6.39
1.782000 -26.99 17.89 0.47
1.785000 7.85 10.36 3.69
1.788000 40.44 -0.04 1.84
1.791000 36.44 11.02 -1.02
1.794000 -32.68 21.46 -0.12
1.797000 -37.34 19.65 -8.24
1.800000 -14.95 10.67 2.12
1.803000 22.67 5.49 0.90
1.806000 43.78 5.41 4.16
1.809000 -14.51 11.34 -3.92
1.812000 -37.74 19.14 -2.55
1.815000 -31.89 21.06 -1.45
1.818000 -0.82 10.12 4.16
1.821000 35.19 1.14 0.35
1.824000 8.04 11.41 1.53
1.827000 -26.91 18.59 -2.12
1.830000 -38.36 17.50 -8.63
1.833000 -22.05 14.87 0.20
1.836000 14.04 1.45 2.20
1.839000 31.26 1.10 3.02
1.842000 -6.51 10.36 -2.75
1.845000 -35.54 21.14 0.35
1.848000 -35.66 20.99 -2.79
1.851000 -9.26 2.12 2.94
1.854000 28.40 3.26 0.24
1.857000 16.87 8.98 3.18
1.860000 -20.12 14.00 -3.80
1.863000 -38.36 17.73 0.20
1.866000 -28.20 19.02 -1.49
1.869000 5.65 -0.98 4.71
1.872000 37.38 0.08 1.57
1.875000 1.69 11.45 -0.16
1.878000 -31.15 21.06 -0.31
1.881000 -37.30 18.95 -1.26
1.884000 -16.40 6.67 1.49
1.887000 43.23 3.26 1.22
1.890000 24.91 4.16 3.77
1.893000 -12.79 10.87 -3.77
1.896000 -37.11 19.61 -2.67
1.899000 -32.68 10.04 -2.94
1.902000 33.70 -0.35 3.92
1.905000 41.38 1.77 0.04
1.908000 9.77 11.26 1.88
1.911000 -25.65 17.81 -8.43
1.914000 -38.29 15.14 0.51
1.917000 -23.18 9.65 0.27
1.920000 41.62 0.78 3.33
1.923000 32.32 0.78 2.82
1.926000 -4.94 10.59 0.75
1.929000 -34.36 21.54 -6.35
1.932000 -35.77 9.65 -2.59
1.935000 27.11 2.79 2.71
1.938000 43.38 3.33 0.04
1.941000 18.08 8.16 3.73
1.944000 -18.91 13.42 -4.47
1.947000 -38.29 19.42 0.31
1.950000 4.20 10.24 -1.69
1.953000 38.21 -0.94 4.31
1.956000 38.40 0.31 1.10
1.959000 2.82 11.38 -1.02
1.962000 -30.44 18.55 -8.75
1.965000 -17.85 11.81 -0.82
1.968000 19.46 7.41 0.71
1.971000 43.27 2.79 1.80
1.974000 26.71 3.22 -3.84
1.977000 -11.06 20.40 -1.10
1.980000 -37.11 21.54 -3.06
1.983000 -4.00 9.69 -3.02
1.986000 32.95 -0.08 3.53
1.989000 42.48 1.96 2.82
1.992000 11.65 10.75 -2.51
1.995000 -24.48 17.57 -7.37
1.998000 -24.87 16.51 0.71
2.001000 10.87 10.08 -0.47
2.004000 41.62 0.12 3.73
2.007000 34.36 0.47 -1.92
2.010000 -3.14 21.81 0.16
2.013000 -36.83 20.20 -7.26
2.016000 -12.24 10.00 -2.28
2.019000 25.65 3.88 2.16
2.022000 44.05 3.69 3.53
2.025000 20.55 12.51 -4.43
2.028000 -38.48 18.59 -3.61
2.031000 -30.79 20.32 0.00
2.034000 2.16 10.20 -1.73
2.037000 37.50 -0.82 0.98
2.040000 40.05 11.41 0.86
2.043000 5.22 19.93 -1.49
2.046000 -38.32 18.08 -8.87
2.049000 -19.93 13.10 -0.35
2.052000 17.38 8.51 2.47
2.055000 43.23 2.20 3.26
2.058000 29.03 10.12 -3.26
2.061000 -36.60 20.75 -0.39
2.064000 -34.87 21.30 -4.08
2.067000 -6.43 9.65 -2.94
2.070000 31.22 0.63 -0.27
2.073000 43.23 10.00 2.94
2.076000 -22.59 15.61 -3.45
2.079000 -38.76 17.65 -6.59
2.082000 -26.48 17.53 0.71
2.085000 8.43 10.04 4.16
2.088000 40.60 0.00 2.31
2.091000 -1.02 10.75 -0.98
2.094000 -32.83 21.57 -0.12
2.097000 -37.30 19.85 -8.08
2.100000 -14.67 10.59 1.45
2.103000 23.77 3.41 1.02
2.106000 43.86 5.61 3.96
2.109000 -15.06 11.49 -4.16
2.112000 -37.85 18.99 -2.75
2.115000 -31.89 20.75 0.00
2.118000 -0.35 10.36 4.20
2.121000 35.93 1.10 0.16
2.124000 7.57 11.41 0.98
2.127000 -27.34 18.99 -2.28
2.130000 -38.21 17.65 -8.71
2.133000 -22.16 14.20 -0.04
2.136000 14.79 1.65 2.82
2.139000 30.79 1.33 3.22
2.142000 -7.26 10.20 -2.86
2.145000 -35.50 21.10 -0.08
2.148000 -35.26 21.46 -3.10
2.151000 -8.36 1.57 2.63
2.154000 43.27 3.14 -0.08
