tempo_s ax ay az
1.974000 7.41 6.35 -1.22
1.977000 43.07 3.73 3.80
1.980000 39.38 4.90 -1.33
1.983000 1.53 9.77 -4.20
1.986000 -34.72 17.93 -2.94
1.989000 -20.48 13.38 -1.92
1.992000 21.73 5.81 1.77
1.995000 47.54 2.16 1.84
1.998000 30.13 14.32 -1.14
2.001000 -13.49 16.40 -3.84
2.004000 -38.01 16.51 -4.12
2.007000 -7.49 11.89 -1.41
2.010000 33.15 4.00 2.35
2.013000 46.92 6.63 -0.31
2.016000 16.79 15.61 -1.80
2.019000 -44.01 18.51 -3.45
2.022000 -30.32 15.46 -3.57
2.025000 6.67 7.77 3.84
2.028000 41.93 4.08 3.92
2.031000 40.68 8.98 -1.18
2.034000 -33.58 16.04 -3.65
2.037000 -44.01 18.44 -3.45
2.040000 -19.97 13.81 1.37
2.043000 20.67 2.47 3.10
2.046000 47.46 5.57 2.63
2.049000 -13.34 13.85 -1.10
2.052000 -40.17 16.59 -4.79
2.055000 -38.21 16.24 -0.90
2.058000 -8.20 4.75 3.69
2.061000 46.80 1.96 3.69
2.064000 17.30 6.75 0.27
2.067000 -24.75 15.65 -2.00
2.070000 -44.37 18.16 -3.49
2.073000 -30.79 7.61 -1.06
2.076000 41.58 3.49 3.77
2.079000 40.91 3.96 3.61
2.082000 2.82 9.34 -1.45
2.085000 -33.30 16.12 -3.41
2.088000 -43.66 14.83 -2.90
2.091000 21.61 5.49 0.90
2.094000 47.70 2.08 3.61
2.097000 30.83 6.67 3.14
2.100000 -12.08 13.14 -5.30
2.103000 -39.89 16.12 -4.79
2.106000 -8.67 11.61 -1.37
2.109000 32.24 4.82 3.33
2.112000 46.92 1.49 3.02
2.115000 17.93 7.30 -2.00
2.118000 -23.89 17.93 -3.88
2.121000 -30.60 14.98 -3.45
2.124000 5.61 7.73 -0.75
2.127000 41.50 3.80 3.92
2.130000 40.83 4.24 -1.37
2.133000 3.49 16.36 -3.77
2.136000 -43.54 17.93 -3.77
2.139000 -21.89 14.71 -1.53
2.142000 19.61 5.61 1.29
2.145000 47.11 1.96 2.94
2.148000 31.22 12.67 -1.53
2.151000 -40.05 16.32 -4.59
2.154000 -38.76 16.28 -4.43
2.157000 -8.94 12.55 -0.90
2.160000 31.89 4.31 3.41
2.163000 46.44 6.47 0.16
2.166000 -23.38 15.65 -1.88
2.169000 -43.66 17.34 -3.69
2.172000 -31.34 14.67 -3.77
2.175000 5.14 8.47 4.20
2.178000 40.52 4.20 3.88
2.181000 4.24 8.51 -1.65
2.184000 -32.68 15.97 -3.80
2.187000 -44.01 18.40 -3.49
2.190000 -22.56 14.59 1.02
2.193000 19.30 2.63 3.61
2.196000 31.73 5.96 2.79
2.199000 -10.75 12.71 -1.14
2.202000 -39.54 16.00 -4.67
2.205000 -38.72 16.87 -0.82
2.208000 -10.12 4.51 2.63
2.211000 47.97 1.61 2.94
2.214000 19.50 6.83 0.31
2.217000 -22.59 15.65 -1.73
2.220000 -44.37 18.20 -4.86
2.223000 -31.97 7.81 -1.61
2.226000 41.31 4.24 3.92
2.229000 42.56 3.37 3.73
2.232000 4.82 8.75 -0.90
2.235000 -32.05 16.99 -3.77
2.238000 -44.44 13.89 -2.71
2.241000 18.83 5.10 0.35
2.244000 47.35 2.59 3.37
2.247000 32.71 6.04 2.98
2.250000 -10.24 12.98 -4.71
2.253000 -39.54 16.44 -4.67
2.256000 -10.63 12.55 -1.18
2.259000 30.87 4.47 2.94
2.262000 48.01 1.37 3.06
2.265000 19.89 7.10 -1.77
2.268000 -22.59 18.08 -3.92
2.271000 -32.24 15.18 -3.57
2.274000 3.06 8.90 -0.39
2.277000 40.56 3.96 4.12
2.280000 41.85 3.41 -1.14
2.283000 5.41 15.89 -3.84
2.286000 -44.60 18.55 -3.77
2.289000 -23.73 14.44 -2.04
2.292000 17.46 6.24 2.94
2.295000 47.42 1.88 3.14
2.298000 32.56 12.47 -1.69
2.301000 -39.54 16.32 -4.59
2.304000 -40.36 17.02 -4.04
